hanzi,binary,一,乙,二,十,丁,厂,七,卜,八,人,入,儿,九,几,了,乃,刀,力,又,三,干,于,亏,士,土,工,才,下,寸,丈,大,与,万,上,小,口,山,巾,千,乞,川,亿,个,么,久,勺,丸,夕,凡,及,广,亡,门,义,之,尸,已,弓,己,卫,子,也,女,飞,刃,习,叉,马,乡,丰,王,井,开,夫,天,元,无,云,专,扎,艺,木,五,支,厅,不,太,犬,区,历,友,尤,匹,车,巨,牙,屯,比,互,切,瓦,止,少,日,中,贝,内,水,冈,见,手,午,牛,毛,气,升,长,仁,什,片,仆,化,仇,币,仍,仅,斤,爪,反,介,父,从,今,凶,分,乏,公,仓,月,氏,勿,风,欠,丹,匀,乌,勾,凤,六,文,方,火,为,斗,忆,计,订,户,认,心,尺,引,丑,巴,孔,队,办,以,允,予,劝,双,书,幻,玉,刊,末,未,示,击,打,巧,正,扑,扒,功,扔,去,甘,世,古,节,本,术,可,丙,左,厉,石,右,布,龙,平,灭,轧,东,卡,北,占,业,旧,帅,归,目,旦,且,叮,叶,甲,申,号,电,田,由,只,央,史,兄,叼,叫,叨,另,叹,四,生,失,禾,丘,付,仗,代,仙,们,仪,白,仔,他,斥,瓜,乎,丛,令,用,甩,印,乐
土,00011000,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,1,2,2,2,3,3,3,4,0,1,1,1,2,2,2,3,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,5,6,6,6,7,7,7,8,4,5,5,5,6,6,6,7,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6
工,00011001,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,2,1,3,3,2,2,4,3,1,0,2,2,1,1,3,2,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,6,5,7,7,6,6,8,7,5,4,6,6,5,5,7,6,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5
才,00011010,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,2,3,1,3,2,4,2,3,1,2,0,2,1,3,1,2,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,6,7,5,7,6,8,6,7,5,6,4,6,5,7,5,6,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5
下,00011100,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,2,3,3,1,4,2,2,3,1,2,2,0,3,1,1,2,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,6,7,7,5,8,6,6,7,5,6,6,4,7,5,5,6,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5
寸,00011011,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,3,2,2,4,1,3,3,2,2,1,1,3,0,2,2,1,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,7,6,6,8,5,7,7,6,6,5,5,7,4,6,6,5,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4
丈,00011101,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,3,2,4,2,3,1,3,2,2,1,3,1,2,0,2,1,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,7,6,8,6,7,5,7,6,6,5,7,5,6,4,6,5,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4
大,00011110,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,3,4,2,2,3,3,1,2,2,3,1,1,2,2,0,1,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,7,8,6,6,7,7,5,6,6,7,5,5,6,6,4,5,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4
与,00011111,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,4,3,3,3,2,2,2,1,3,2,2,2,1,1,1,0,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,8,7,7,7,6,6,6,5,7,6,6,6,5,5,5,4,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3
万,00100000,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,0,1,1,1,2,2,2,3,1,2,2,2,3,3,3,4,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,4,5,5,5,6,6,6,7,5,6,6,6,7,7,7,8,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7
上,00100001,2,1,3,3,2,2,4,3,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,1,0,2,2,1,1,3,2,2,1,3,3,2,2,4,3,2,1,3,3,2,2,4,3,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,5,4,6,6,5,5,7,6,2,1,3,3,2,2,4,3,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,5,4,6,6,5,5,7,6,2,1,3,3,2,2,4,3,3,2,4,4,3,3,5,4,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,5,4,6,6,5,5,7,6,5,4,6,6,5,5,7,6,6,5,7,7,6,6,8,7,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,4,3,5,5,4,4,6,5,5,4,6,6,5,5,7,6
小,00100010,2,3,1,3,2,4,2,3,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,1,2,0,2,1,3,1,2,2,3,1,3,2,4,2,3,2,3,1,3,2,4,2,3,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,5,6,4,6,5,7,5,6,2,3,1,3,2,4,2,3,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,5,6,4,6,5,7,5,6,2,3,1,3,2,4,2,3,3,4,2,4,3,5,3,4,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,5,6,4,6,5,7,5,6,5,6,4,6,5,7,5,6,6,7,5,7,6,8,6,7,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,4,5,3,5,4,6,4,5,5,6,4,6,5,7,5,6
口,00100100,2,3,3,1,4,2,2,3,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,1,2,2,0,3,1,1,2,2,3,3,1,4,2,2,3,2,3,3,1,4,2,2,3,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,5,6,6,4,7,5,5,6,2,3,3,1,4,2,2,3,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,5,6,6,4,7,5,5,6,2,3,3,1,4,2,2,3,3,4,4,2,5,3,3,4,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,5,6,6,4,7,5,5,6,5,6,6,4,7,5,5,6,6,7,7,5,8,6,6,7,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,4,5,5,3,6,4,4,5,5,6,6,4,7,5,5,6
山,00100011,3,2,2,4,1,3,3,2,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,2,1,1,3,0,2,2,1,3,2,2,4,1,3,3,2,3,2,2,4,1,3,3,2,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,6,5,5,7,4,6,6,5,3,2,2,4,1,3,3,2,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,6,5,5,7,4,6,6,5,3,2,2,4,1,3,3,2,4,3,3,5,2,4,4,3,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,6,5,5,7,4,6,6,5,6,5,5,7,4,6,6,5,7,6,6,8,5,7,7,6,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,5,4,4,6,3,5,5,4,6,5,5,7,4,6,6,5
巾,00100101,3,2,4,2,3,1,3,2,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,2,1,3,1,2,0,2,1,3,2,4,2,3,1,3,2,3,2,4,2,3,1,3,2,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,6,5,7,5,6,4,6,5,3,2,4,2,3,1,3,2,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,6,5,7,5,6,4,6,5,3,2,4,2,3,1,3,2,4,3,5,3,4,2,4,3,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,6,5,7,5,6,4,6,5,6,5,7,5,6,4,6,5,7,6,8,6,7,5,7,6,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,5,4,6,4,5,3,5,4,6,5,7,5,6,4,6,5
千,00100110,3,4,2,2,3,3,1,2,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,2,3,1,1,2,2,0,1,3,4,2,2,3,3,1,2,3,4,2,2,3,3,1,2,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,6,7,5,5,6,6,4,5,3,4,2,2,3,3,1,2,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,6,7,5,5,6,6,4,5,3,4,2,2,3,3,1,2,4,5,3,3,4,4,2,3,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,6,7,5,5,6,6,4,5,6,7,5,5,6,6,4,5,7,8,6,6,7,7,5,6,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,5,6,4,4,5,5,3,4,6,7,5,5,6,6,4,5
乞,00100111,4,3,3,3,2,2,2,1,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,3,2,2,2,1,1,1,0,4,3,3,3,2,2,2,1,4,3,3,3,2,2,2,1,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,7,6,6,6,5,5,5,4,4,3,3,3,2,2,2,1,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,7,6,6,6,5,5,5,4,4,3,3,3,2,2,2,1,5,4,4,4,3,3,3,2,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,7,6,6,6,5,5,5,4,7,6,6,6,5,5,5,4,8,7,7,7,6,6,6,5,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,6,5,5,5,4,4,4,3,7,6,6,6,5,5,5,4
川,00101000,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,0,1,1,1,2,2,2,3,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,5,6,6,6,7,7,7,8,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6
亿,00101001,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,1,0,2,2,1,1,3,2,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,2,1,3,3,2,2,4,3,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,6,5,7,7,6,6,8,7,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5,3,2,4,4,3,3,5,4,5,4,6,6,5,5,7,6,4,3,5,5,4,4,6,5
个,00101010,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,1,2,0,2,1,3,1,2,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,2,3,1,3,2,4,2,3,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,6,7,5,7,6,8,6,7,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5,3,4,2,4,3,5,3,4,5,6,4,6,5,7,5,6,4,5,3,5,4,6,4,5
么,00101100,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,1,2,2,0,3,1,1,2,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,2,3,3,1,4,2,2,3,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,6,7,7,5,8,6,6,7,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5,3,4,4,2,5,3,3,4,5,6,6,4,7,5,5,6,4,5,5,3,6,4,4,5
久,00101011,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,2,1,1,3,0,2,2,1,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,3,2,2,4,1,3,3,2,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,7,6,6,8,5,7,7,6,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4,4,3,3,5,2,4,4,3,6,5,5,7,4,6,6,5,5,4,4,6,3,5,5,4
勺,00101101,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,2,1,3,1,2,0,2,1,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,3,2,4,2,3,1,3,2,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,7,6,8,6,7,5,7,6,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4,4,3,5,3,4,2,4,3,6,5,7,5,6,4,6,5,5,4,6,4,5,3,5,4
丸,00101110,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,2,3,1,1,2,2,0,1,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,3,4,2,2,3,3,1,2,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,7,8,6,6,7,7,5,6,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4,4,5,3,3,4,4,2,3,6,7,5,5,6,6,4,5,5,6,4,4,5,5,3,4
夕,00101111,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,3,2,2,2,1,1,1,0,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,4,3,3,3,2,2,2,1,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,8,7,7,7,6,6,6,5,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3,5,4,4,4,3,3,3,2,7,6,6,6,5,5,5,4,6,5,5,5,4,4,4,3
凡,00110000,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,0,1,1,1,2,2,2,3,1,2,2,2,3,3,3,4,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6,1,2,2,2,3,3,3,4,2,3,3,3,4,4,4,5,4,5,5,5,6,6,6,7,5,6,6,6,7,7,7,8,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,3,4,4,4,5,5,5,6,4,5,5,5,6,6,6,7,2,3,3,3,4,4,4,5,3,4,4,4,5,5,5,6
